entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason
2024-04-26T13:00:00+09:00	37615.0	60	37635.8	0.8	LONG	TP
2024-04-26T23:36:00+09:00	37990.0	60	37971.0	-1.0	SHORT	TP
2024-04-27T06:55:00+09:00	37430.0	0	37404.9	-45.1	LONG	TRAILING_SL
2024-04-30T17:47:00+09:00	38305.0	3540	38420.0	95.0	LONG	HORIZON
2024-04-30T23:56:00+09:00	38305.0	60	38608.2	283.2	LONG	TP
2024-05-01T07:41:00+09:00	37975.0	3540	38360.0	365.0	LONG	HORIZON
2024-05-01T13:55:00+09:00	38200.0	0	38186.7	-33.3	LONG	TRAILING_SL
2024-05-01T21:31:00+09:00	38320.0	0	38332.5	-32.5	SHORT	TRAILING_SL
2024-05-02T06:32:00+09:00	38425.0	3540	38465.0	-60.0	SHORT	HORIZON
2024-05-02T12:32:00+09:00	38090.0	3540	38330.0	-260.0	SHORT	HORIZON
2024-05-02T23:19:00+09:00	38300.0	8160	38180.0	100.0	SHORT	HORIZON
2024-05-03T06:37:00+09:00	38190.0	0	38180.5	-10.5	SHORT	TP
2024-05-08T07:08:00+09:00	38105.0	0	38496.4	371.4	LONG	TP
2024-05-08T13:51:00+09:00	38725.0	15420	38620.0	85.0	SHORT	HORIZON
2024-05-08T23:10:00+09:00	38236.0	240	38216.3	-39.7	LONG	TRAILING_SL
2024-05-09T06:03:00+09:00	38740.0	120	38730.1	-10.1	SHORT	TP
2024-05-09T11:25:00+09:00	38315.0	0	38320.7	-14.3	LONG	TP
2024-05-09T21:24:00+09:00	38437.0	0	38431.2	-25.8	LONG	TRAILING_SL
2024-05-10T04:16:00+09:00	38300.0	300	38296.2	-23.8	LONG	TRAILING_SL
2024-05-10T11:04:00+09:00	38430.0	300	38416.2	-6.2	SHORT	TP
2024-05-10T18:02:00+09:00	38515.0	3540	38670.0	-175.0	SHORT	HORIZON
2024-05-10T22:16:00+09:00	38165.0	600	38135.1	-49.9	LONG	TRAILING_SL
2024-05-11T04:18:00+09:00	38050.0	420	38067.0	-3.0	LONG	TP
2024-05-11T07:43:00+09:00	38125.0	0	38129.6	-15.4	LONG	TRAILING_SL
2024-05-13T12:10:00+09:00	38195.0	120	38204.5	-29.5	SHORT	TRAILING_SL
2024-05-13T19:12:00+09:00	38045.0	0	38024.2	-40.8	LONG	TRAILING_SL
2024-05-13T23:52:00+09:00	38145.0	240	38159.2	-5.8	LONG	TP
2024-05-14T03:05:00+09:00	38385.0	120	38393.9	-28.9	SHORT	TRAILING_SL
2024-05-14T06:41:00+09:00	38365.0	3540	38345.0	0.0	SHORT	HORIZON
2024-05-14T11:06:00+09:00	38165.0	3540	38165.0	-20.0	SHORT	HORIZON
2024-05-14T18:16:00+09:00	38365.0	60	38383.0	-38.0	SHORT	TRAILING_SL
2024-05-14T22:33:00+09:00	38270.0	60	38258.2	-8.2	SHORT	TP
2024-05-15T04:03:00+09:00	38065.0	3540	38095.0	-50.0	SHORT	HORIZON
2024-05-15T07:36:00+09:00	38075.0	0	38065.8	-29.2	LONG	TRAILING_SL
2024-05-15T14:55:00+09:00	38560.0	10200	38569.7	-29.7	SHORT	TRAILING_SL
2024-05-15T17:51:00+09:00	38610.0	0	38626.1	-36.1	SHORT	TRAILING_SL
2024-05-16T05:59:00+09:00	38290.0	120	38282.0	-28.0	LONG	TRAILING_SL
2024-05-16T18:27:00+09:00	38610.0	0	38583.3	-46.7	LONG	TRAILING_SL
2024-05-16T23:31:00+09:00	38825.0	0	38838.1	-33.1	SHORT	TRAILING_SL
2024-05-17T05:31:00+09:00	38320.0	3540	38450.0	110.0	LONG	HORIZON
2024-05-17T12:41:00+09:00	38585.0	540	38582.5	-22.5	LONG	TRAILING_SL
2024-05-18T04:32:00+09:00	38865.0	60	38868.3	-23.3	SHORT	TRAILING_SL
2024-05-20T18:01:00+09:00	38770.0	3540	39255.0	465.0	LONG	HORIZON
2024-05-20T22:40:00+09:00	39155.0	0	39167.8	-7.2	LONG	TP
2024-05-21T14:00:00+09:00	39295.0	180	39286.5	-11.5	SHORT	TP
2024-05-21T21:32:00+09:00	39180.0	3540	39070.0	-130.0	LONG	HORIZON
2024-05-22T07:33:00+09:00	39075.0	3540	39245.0	150.0	LONG	HORIZON
2024-05-22T12:18:00+09:00	38840.0	660	38832.7	-12.7	SHORT	TP
2024-05-22T19:06:00+09:00	38690.0	360	38716.1	-46.1	SHORT	TRAILING_SL
2024-05-23T00:00:00+09:00	38615.0	5640	38980.0	345.0	LONG	HORIZON
2024-05-23T07:14:00+09:00	38925.0	3540	38885.0	20.0	SHORT	HORIZON
2024-05-23T11:38:00+09:00	38640.0	3540	38505.0	-155.0	LONG	HORIZON
2024-05-24T07:31:00+09:00	38605.0	0	38597.3	-27.7	LONG	TRAILING_SL
2024-05-25T00:01:00+09:00	38605.0	180	38579.6	-45.4	LONG	TRAILING_SL
2024-05-27T18:00:00+09:00	38770.0	3540	38750.0	-40.0	LONG	HORIZON
2024-05-27T23:32:00+09:00	38820.0	180	38806.1	-33.9	LONG	TRAILING_SL
2024-05-28T14:35:00+09:00	38960.0	11760	38915.0	25.0	SHORT	HORIZON
2024-05-28T23:48:00+09:00	38865.0	120	38884.2	-39.2	SHORT	TRAILING_SL
2024-05-29T19:39:00+09:00	38680.0	120	38702.3	2.3	LONG	TP
2024-05-29T23:56:00+09:00	38540.0	0	38525.1	-34.9	LONG	TRAILING_SL
2024-05-30T18:05:00+09:00	37835.0	3540	37685.0	-170.0	LONG	HORIZON
2024-05-30T23:46:00+09:00	37900.0	480	37930.8	10.8	LONG	TP
2024-05-31T11:02:00+09:00	38305.0	3540	38300.0	-15.0	SHORT	HORIZON
2024-05-31T17:47:00+09:00	38090.0	0	38103.3	-6.7	LONG	TP
2024-05-31T23:02:00+09:00	38440.0	0	38453.1	-33.1	SHORT	TRAILING_SL
2024-06-01T06:56:00+09:00	38160.0	180	38172.5	-7.5	LONG	TP
2024-06-03T21:52:00+09:00	38940.0	360	38968.6	-48.6	SHORT	TRAILING_SL
2024-06-04T12:15:00+09:00	38520.0	0	38531.3	-31.3	SHORT	TRAILING_SL
2024-06-04T19:02:00+09:00	38715.0	0	38694.3	0.7	SHORT	TP
2024-06-04T23:38:00+09:00	38765.0	6960	38820.0	-75.0	SHORT	HORIZON
2024-06-05T05:00:00+09:00	38750.0	0	38757.0	-27.0	SHORT	TRAILING_SL
2024-06-05T19:21:00+09:00	38405.0	60	38421.7	-3.3	LONG	TP
2024-06-06T14:49:00+09:00	38965.0	300	38972.5	-12.5	LONG	TP
2024-06-06T18:04:00+09:00	38985.0	3540	38930.0	35.0	SHORT	HORIZON
2024-06-07T20:03:00+09:00	38585.0	60	38602.4	-2.6	LONG	TP
2024-06-08T07:35:00+09:00	38760.0	3540	38700.0	40.0	SHORT	HORIZON
2024-06-10T13:15:00+09:00	38620.0	0	38634.7	-5.3	LONG	TP
2024-06-11T00:01:00+09:00	39045.0	5580	38620.0	405.0	SHORT	HORIZON
2024-06-11T17:46:00+09:00	39185.0	0	39184.8	-20.2	LONG	TRAILING_SL
2024-06-11T23:33:00+09:00	39160.0	60	39145.3	-5.3	SHORT	TP
2024-06-12T07:08:00+09:00	38865.0	0	38853.4	-31.6	LONG	TRAILING_SL
2024-06-12T11:23:00+09:00	38920.0	3540	39005.0	-105.0	SHORT	HORIZON
2024-06-12T18:26:00+09:00	38880.0	0	38861.8	-1.8	SHORT	TP
2024-06-12T23:58:00+09:00	38885.0	0	38891.0	-26.0	SHORT	TRAILING_SL
2024-06-13T13:56:00+09:00	39190.0	180	39167.5	2.5	SHORT	TP
2024-06-13T23:35:00+09:00	38800.0	0	38785.2	-34.8	LONG	TRAILING_SL
2024-06-14T11:04:00+09:00	38490.0	60	38496.5	-26.5	SHORT	TRAILING_SL
2024-06-14T21:01:00+09:00	38735.0	180	38740.1	-25.1	SHORT	TRAILING_SL
2024-06-15T03:27:00+09:00	38770.0	3600	38710.0	40.0	SHORT	HORIZON
2024-06-15T07:42:00+09:00	38710.0	3540	38510.0	180.0	SHORT	HORIZON
2024-06-17T13:57:00+09:00	38460.0	60	38466.0	-26.0	SHORT	TRAILING_SL
