entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason	cum_pnl
2024-08-13T18:01:00+09:00	35700.0	1800	35790.0	-3300.0	SHORT	HORIZON	-8784.9
2024-08-14T05:35:00+09:00	35105.0	180	35067.7	-1720.0	LONG	TRAILING_SL	-10504.9
2024-08-14T08:02:00+09:00	34915.0	180	35011.4	2292.5	LONG	TP	-8212.3
2024-08-15T18:23:00+09:00	36560.0	1020	36608.0	-1359.1	SHORT	TRAILING_SL	-9571.5
2024-08-15T23:31:00+09:00	36670.0	1200	36624.5	765.0	SHORT	TP	-8806.5
2024-08-17T06:47:00+09:00	37225.0	300	37301.4	1691.7	LONG	TP	-7114.8
2024-08-19T21:37:00+09:00	37765.0	180	37709.3	1072.0	SHORT	TP	-6042.7
2024-08-20T05:36:00+09:00	37575.0	1740	37533.8	635.7	SHORT	TP	-5407.0
2024-08-22T22:27:00+09:00	37975.0	300	37995.8	-815.5	SHORT	TRAILING_SL	-6222.5
2024-08-23T12:48:00+09:00	38185.0	1800	38140.0	-1300.0	LONG	HORIZON	-7522.5
2024-08-23T18:01:00+09:00	38295.0	540	38337.2	443.8	LONG	TP	-7078.7
2024-08-23T20:41:00+09:00	38200.0	960	38247.4	547.4	LONG	TP	-6531.3
2024-08-24T00:00:00+09:00	38395.0	5640	38100.0	-9450.0	LONG	HORIZON	-15981.3
2024-08-24T07:52:00+09:00	38495.0	180	38524.1	-982.4	SHORT	TRAILING_SL	-16963.7
2024-08-26T11:23:00+09:00	38280.0	180	38301.7	-833.8	SHORT	TRAILING_SL	-17797.5
2024-08-29T00:01:00+09:00	38335.0	180	38346.3	-938.8	SHORT	TRAILING_SL	-18736.2
2024-08-29T12:31:00+09:00	38020.0	1200	38054.1	281.6	LONG	TP	-18454.7
2024-08-29T14:28:00+09:00	38150.0	780	38238.5	2054.8	LONG	TP	-16399.9
2024-08-30T12:44:00+09:00	38340.0	180	38284.9	702.5	SHORT	TP	-15697.4
2024-08-30T19:07:00+09:00	38530.0	480	38542.1	-641.3	SHORT	TRAILING_SL	-16338.8
2024-09-02T18:43:00+09:00	38930.0	180	38911.9	-762.3	LONG	TRAILING_SL	-17101.0
2024-09-02T21:42:00+09:00	38505.0	180	38547.4	447.6	LONG	TP	-16653.4
2024-09-03T08:06:00+09:00	38895.0	1800	38900.0	-450.0	LONG	HORIZON	-17103.4
2024-09-03T17:47:00+09:00	38725.0	300	38755.0	200.0	LONG	TP	-16903.4
2024-09-04T18:01:00+09:00	37440.0	900	37497.7	1130.5	LONG	TP	-15772.9
2024-09-04T23:36:00+09:00	36965.0	660	37042.9	1737.3	LONG	TP	-14035.6
2024-09-05T08:04:00+09:00	38125.0	300	38055.6	1483.2	SHORT	TP	-12552.4
2024-09-05T17:49:00+09:00	36225.0	180	36278.8	1015.2	LONG	TP	-11537.2
2024-09-06T00:00:00+09:00	36640.0	240	36614.0	-1379.3	LONG	TRAILING_SL	-12916.5
2024-09-06T18:01:00+09:00	36825.0	300	36872.1	812.3	LONG	TP	-12104.1
2024-09-06T21:39:00+09:00	36475.0	300	36527.4	972.0	LONG	TRAILING_SL	-11132.2
2024-09-06T23:41:00+09:00	36270.0	960	36499.1	6274.5	LONG	TRAILING_SL	-4857.7
2024-09-07T03:24:00+09:00	36675.0	540	36714.6	589.3	LONG	TP	-4268.4
2024-09-07T06:16:00+09:00	36650.0	900	36686.1	482.9	LONG	TP	-3785.5
2024-09-11T06:38:00+09:00	36085.0	180	36072.0	-659.8	LONG	TRAILING_SL	-4445.2
2024-09-11T11:11:00+09:00	35915.0	1800	35970.0	-1500.0	SHORT	HORIZON	-5945.2
2024-09-11T19:01:00+09:00	35880.0	1800	35998.0	-2760.0	SHORT	HORIZON	-8705.2
2024-09-11T21:37:00+09:00	35740.0	660	35764.0	-1319.5	SHORT	TRAILING_SL	-10024.8
2024-09-11T23:33:00+09:00	35465.0	1800	35635.0	-5700.0	SHORT	HORIZON	-15724.8
2024-09-12T11:08:00+09:00	36185.0	360	36222.1	-1711.8	SHORT	TRAILING_SL	-17436.5
2024-09-13T07:56:00+09:00	35885.0	1800	35550.0	-7100.0	LONG	HORIZON	-24536.5
2024-09-14T00:04:00+09:00	36280.0	5160	36302.3	-1268.2	SHORT	TRAILING_SL	-25804.7
2024-09-17T17:48:00+09:00	36405.0	180	36372.2	384.5	SHORT	TP	-25420.2
2024-09-17T19:21:00+09:00	35805.0	180	35824.1	-1172.9	SHORT	TRAILING_SL	-26593.2
2024-09-17T21:32:00+09:00	35680.0	360	35645.1	446.1	SHORT	TP	-26147.0
2024-09-17T23:51:00+09:00	35865.0	240	35880.0	-1048.7	SHORT	TRAILING_SL	-27195.7
2024-09-18T11:25:00+09:00	36280.0	360	36293.4	-1000.7	SHORT	TRAILING_SL	-28196.4
2024-09-18T18:26:00+09:00	36240.0	660	36183.7	1087.6	SHORT	TP	-27108.8
2024-09-18T21:39:00+09:00	36010.0	1080	35980.0	200.0	SHORT	TP	-26908.8
2024-09-19T02:02:00+09:00	36055.0	1800	36095.0	-1800.0	SHORT	HORIZON	-28708.8
2024-09-19T04:54:00+09:00	36160.0	1500	36130.0	200.0	SHORT	TP	-28508.8
2024-09-19T06:32:00+09:00	36280.0	1800	36335.0	-1500.0	SHORT	HORIZON	-30008.8
2024-09-19T08:06:00+09:00	36410.0	180	36426.1	-721.3	SHORT	TRAILING_SL	-30730.1
2024-09-19T12:48:00+09:00	36150.0	240	36255.9	1717.0	LONG	TP	-29013.1
2024-09-19T17:51:00+09:00	36630.0	360	36712.6	1251.6	LONG	TRAILING_SL	-27761.5
2024-09-24T19:50:00+09:00	37955.0	1800	37790.0	-3700.0	LONG	HORIZON	-31461.5
2024-09-24T22:08:00+09:00	37780.0	1800	38340.0	16200.0	LONG	HORIZON	-15261.5
2024-09-24T23:47:00+09:00	37810.0	6420	37970.0	4200.0	LONG	HORIZON	-11061.5
2024-09-25T23:58:00+09:00	37665.0	5520	37700.7	313.9	LONG	TP	-10747.6
2024-09-26T06:37:00+09:00	37665.0	180	37652.2	-656.7	LONG	TRAILING_SL	-11404.3
2024-09-27T23:29:00+09:00	39635.0	240	39518.0	2910.6	SHORT	TP	-8493.8
2024-09-30T17:49:00+09:00	38000.0	240	38020.8	23.4	LONG	TRAILING_SL	-8470.3
2024-10-02T11:07:00+09:00	37750.0	480	37700.5	-1389.5	LONG	TRAILING_SL	-9859.8
2024-10-02T17:57:00+09:00	37900.0	1800	38100.0	5400.0	LONG	HORIZON	-4459.8
2024-10-02T23:32:00+09:00	37770.0	1800	37795.0	150.0	LONG	HORIZON	-4309.8
2024-10-03T07:36:00+09:00	38245.0	1800	38030.0	-7050.0	LONG	HORIZON	-11359.8
2024-10-10T18:33:00+09:00	39475.0	360	39458.9	-722.6	LONG	TRAILING_SL	-12082.3
2024-10-11T02:19:00+09:00	39230.0	1560	39264.8	442.5	LONG	TP	-11639.8
2024-10-11T08:02:00+09:00	39490.0	1800	39475.0	-700.0	LONG	HORIZON	-12339.8
2024-10-15T11:02:00+09:00	40120.0	1800	40080.0	-1800.0	LONG	HORIZON	-14139.8
2024-10-15T12:40:00+09:00	40135.0	1800	40085.0	-2100.0	LONG	HORIZON	-16239.8
2024-10-15T14:48:00+09:00	40090.0	360	39933.5	-5293.6	LONG	TRAILING_SL	-21533.4
2024-10-15T18:06:00+09:00	40085.0	1800	40110.0	150.0	LONG	HORIZON	-21383.4
2024-10-15T21:01:00+09:00	40220.0	1800	40180.0	-1200.0	LONG	HORIZON	-22583.4
