entry_ts	entry_price	exit_ts	exit_price	pnl	dir	reason
2024-02-15 17:48:00.000000000	37890.0	2024-02-15 18:19:00.000000000	37990.0	-120.0	SHORT	SL
2024-02-16 04:17:00.000000000	38545.0	2024-02-16 05:16:00.000000000	38540.0	-15.0	SHORT	HORIZON
2024-02-16 11:19:00.000000000	38500.0	2024-02-16 12:18:00.000000000	38590.0	-110.0	SHORT	HORIZON
2024-02-16 21:43:00.000000000	38255.0	2024-02-16 22:36:00.000000000	38278.8	3.8	LONG	TP
2024-02-19 04:24:00.000000000	38520.0	2024-02-19 04:29:00.000000000	38553.0	13.0	LONG	TP
2024-02-19 12:47:00.000000000	38340.0	2024-02-19 13:05:00.000000000	38379.4	19.4	LONG	TP
2024-02-19 21:23:00.000000000	38625.0	2024-02-19 21:28:00.000000000	38600.9	4.1	SHORT	TP
2024-02-20 02:09:00.000000000	38535.0	2024-02-20 03:09:00.000000000	38540.0	-25.0	SHORT	HORIZON
2024-02-20 14:32:00.000000000	38365.0	2024-02-20 14:45:00.000000000	38409.4	24.4	LONG	TP
2024-02-21 14:33:00.000000000	38255.0	2024-02-21 15:00:00.000000000	38299.9	24.9	LONG	TP
2024-02-21 22:15:00.000000000	38440.0	2024-02-21 22:20:00.000000000	38413.3	6.7	SHORT	TP
2024-02-22 03:33:00.000000000	38330.0	2024-02-22 04:32:00.000000000	38280.0	-70.0	LONG	HORIZON
2024-02-22 13:22:00.000000000	38865.0	2024-02-22 13:22:00.000000000	38804.9	40.1	SHORT	TP
2024-02-22 20:37:00.000000000	38320.0	2024-02-22 20:55:00.000000000	38346.6	6.6	LONG	TP
2024-02-27 03:21:00.000000000	39390.0	2024-02-27 03:29:00.000000000	39352.9	17.1	SHORT	TP
2024-02-27 09:49:00.000000000	39365.0	2024-02-27 10:48:00.000000000	39320.0	25.0	SHORT	HORIZON
2024-02-27 14:37:00.000000000	39195.0	2024-02-27 14:57:00.000000000	39237.7	22.7	LONG	TP
2024-02-28 03:26:00.000000000	39235.0	2024-02-28 03:59:00.000000000	39260.6	5.6	LONG	TP
2024-02-28 10:06:00.000000000	39145.0	2024-02-28 10:24:00.000000000	39201.0	36.0	LONG	TP
2024-02-28 14:37:00.000000000	39220.0	2024-02-28 16:30:00.000000000	39256.9	16.9	LONG	TP
2024-02-29 02:21:00.000000000	39120.0	2024-02-29 03:20:00.000000000	39100.0	-40.0	LONG	HORIZON
2024-02-29 09:02:00.000000000	38965.0	2024-02-29 09:31:00.000000000	39011.6	26.6	LONG	TP
2024-02-29 14:12:00.000000000	39185.0	2024-02-29 14:40:00.000000000	39235.4	30.4	LONG	TP
2024-02-29 21:06:00.000000000	39045.0	2024-02-29 22:05:00.000000000	39025.0	-40.0	LONG	HORIZON
2024-03-01 02:02:00.000000000	39130.0	2024-03-01 03:01:00.000000000	39170.0	20.0	LONG	HORIZON
2024-03-01 08:47:00.000000000	39340.0	2024-03-01 09:02:00.000000000	39374.3	14.3	LONG	TP
2024-03-01 13:27:00.000000000	39905.0	2024-03-01 14:26:00.000000000	39930.0	-45.0	SHORT	HORIZON
2024-03-01 21:42:00.000000000	39050.0	2024-03-01 21:56:00.000000000	39079.8	9.8	LONG	TP
2024-03-04 03:53:00.000000000	40250.0	2024-03-04 04:52:00.000000000	40280.0	-50.0	SHORT	HORIZON
2024-03-04 11:58:00.000000000	40170.0	2024-03-04 12:37:00.000000000	40120.8	29.2	SHORT	TP
2024-03-04 22:34:00.000000000	40025.0	2024-03-04 22:37:00.000000000	39989.9	15.1	SHORT	TP
2024-03-05 02:03:00.000000000	40135.0	2024-03-05 03:02:00.000000000	40190.0	-75.0	SHORT	HORIZON
2024-03-05 09:48:00.000000000	39893.0	2024-03-05 10:10:00.000000000	39963.3	50.3	LONG	TP
2024-03-05 22:12:00.000000000	40180.0	2024-03-05 22:21:00.000000000	40158.7	1.3	SHORT	TP
2024-03-06 05:49:00.000000000	39755.0	2024-03-06 08:45:00.000000000	39799.4	24.4	LONG	TP
2024-03-06 09:26:00.000000000	39965.0	2024-03-06 10:13:00.000000000	40042.6	57.6	LONG	TP
2024-03-06 14:13:00.000000000	40125.0	2024-03-06 16:31:00.000000000	40115.0	-30.0	LONG	HORIZON
2024-03-07 11:10:00.000000000	39680.0	2024-03-07 11:17:00.000000000	39791.7	91.7	LONG	TP
2024-03-07 17:36:00.000000000	40155.0	2024-03-07 18:02:00.000000000	40201.1	26.1	LONG	TP
2024-03-08 02:42:00.000000000	39505.0	2024-03-08 03:46:00.000000000	39590.0	-105.0	SHORT	HORIZON
2024-03-08 13:54:00.000000000	39505.0	2024-03-08 14:02:00.000000000	39445.2	39.8	SHORT	TP
