 2024-05-17: n_trades: 1, win_rate: 1.0, pf: inf, pnl: 37.0, avg_pnl: 37.05503463745117, score: 1.09471304085163, threshold_trade: 0.611328125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 4, trades: []
 2024-05-20: n_trades: 2, win_rate: 0.5, pf: 1.443932775639487, pnl: 12.0, avg_pnl: 6.321706771850586, score: -0.13057734187064668, threshold_trade: 0.45263671875, threshold_dir: 0.7, min_dir_conf: 0.7, raw_signals_count: 115, trades: []
 2024-05-21: n_trades: 2, win_rate: 0.5, pf: 1.2363076604778354, pnl: 8.0, avg_pnl: 4.008460998535156, score: -0.1266208742539667, threshold_trade: 0.52294921875, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 30, trades: []
 2024-05-22: n_trades: 2, win_rate: 0.5, pf: 0.7455666201694565, pnl: -9.0, avg_pnl: -4.80938720703125, score: -0.13019645263201912, threshold_trade: 0.58740234375, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 22, trades: []
 2024-05-23: n_trades: 2, win_rate: 0.5, pf: 1.0078431997363708, pnl: 0.0, avg_pnl: 0.15398406982421875, score: -0.09460601584432644, threshold_trade: 0.45556640625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 12, trades: []
 2024-05-24: n_trades: 2, win_rate: 0.5, pf: 0.26818706805889425, pnl: -95.0, avg_pnl: -47.567840576171875, score: -0.2759187078040366, threshold_trade: 0.472412109375, threshold_dir: 0.7, min_dir_conf: 0.7, raw_signals_count: 56, trades: []
 2024-05-27: n_trades: 1, win_rate: 0.0, pf: 0.0, pnl: -56.0, avg_pnl: -56.62109375, score: -1.1046100588875207, threshold_trade: 0.55908203125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 3, trades: []
 2024-05-28: n_trades: 2, win_rate: 0.5, pf: 1.1872561315496097, pnl: 4.0, avg_pnl: 2.29644775390625, score: -0.07877626102327832, threshold_trade: 0.505, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 20, trades: []
 2024-05-29: n_trades: 2, win_rate: 0.5, pf: 1.2375895880577348, pnl: 7.0, avg_pnl: 3.785655975341797, score: -0.07204863471767968, threshold_trade: 0.403076171875, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 12, trades: []
 2024-05-30: n_trades: 4, win_rate: 0.75, pf: 6.635387166341146, pnl: 84.0, avg_pnl: 21.132701873779297, score: 0.19620147109256392, threshold_trade: 0.47900390625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 29, trades: []
 2024-05-31: n_trades: 3, win_rate: 0.6666666666666666, pf: 2.4256700790229884, pnl: 60.0, avg_pnl: 20.187711715698242, score: 0.02395220607877832, threshold_trade: 0.533203125, threshold_dir: 0.6, min_dir_conf: 0.6, raw_signals_count: 41, trades: []
